id,State,State Code,Region,Division,latitude,longitude
,Alabama,AL,South,East South Central,32.318231,-86.902298
,Alaska,AK,West,Pacific,63.588753,-154.493062
,Arizona,AZ,West,Mountain,34.048928,-111.093731
,Arkansas,AR,South,West South Central,35.20105,-91.831833
,California,CA,West,Pacific,36.778261,-119.417932
,Colorado,CO,West,Mountain,39.550051,-105.782067
,Connecticut,CT,Northeast,New England,41.603221,-73.087749
,District of Columbia,DC,South,South Atlantic,38.905985,-77.033418
,Delaware,DE,South,South Atlantic,38.910832,-75.52767
,Florida,FL,South,South Atlantic,27.664827,-81.515754
,Georgia,GA,South,South Atlantic,32.157435,-82.907123
,Hawaii,HI,West,Pacific,19.898682,-155.665857
,Iowa,IA,Midwest,West North Central,41.878003,-93.097702
,Idaho,ID,West,Mountain,44.068202,-114.742041
,Illinois,IL,Midwest,East North Central,40.633125,-89.398528
,Indiana,IN,Midwest,East North Central,40.551217,-85.602364
,Kansas,KS,Midwest,West North Central,39.011902,-98.484246
,Kentucky,KY,South,East South Central,37.839333,-84.270018
,Louisiana,LA,South,West South Central,31.244823,-92.145024
,Massachusetts,MA,Northeast,New England,42.407211,-71.382437
,Maryland,MD,South,South Atlantic,39.045755,-76.641271
,Maine,ME,Northeast,New England,45.253783,-69.445469
,Michigan,MI,Midwest,East North Central,44.314844,-85.602364
,Minnesota,MN,Midwest,West North Central,46.729553,-94.6859
,Missouri,MO,Midwest,West North Central,37.964253,-91.831833
,Mississippi,MS,South,East South Central,32.354668,-89.398528
,Montana,MT,West,Mountain,46.879682,-110.362566
,North Carolina,NC,South,South Atlantic,35.759573,-79.0193
,North Dakota,ND,Midwest,West North Central,47.551493,-101.002012
,Nebraska,NE,Midwest,West North Central,41.492537,-99.901813
,New Hampshire,NH,Northeast,New England,43.193852,-71.572395
,New Jersey,NJ,Northeast,Middle Atlantic,40.058324,-74.405661
,New Mexico,NM,West,Mountain,34.97273,-105.032363
,Nevada,NV,West,Mountain,38.80261,-116.419389
,New York,NY,Northeast,Middle Atlantic,43.299428,-74.217933
,Ohio,OH,Midwest,East North Central,40.417287,-82.907123
,Oklahoma,OK,South,West South Central,35.007752,-97.092877
,Oregon,OR,West,Pacific,43.804133,-120.554201
,Pennsylvania,PA,Northeast,Middle Atlantic,41.203322,-77.194525
,Rhode Island,RI,Northeast,New England,41.580095,-71.477429
,South Carolina,SC,South,South Atlantic,33.836081,-81.163725
,South Dakota,SD,Midwest,West North Central,43.969515,-99.901813
,Tennessee,TN,South,East South Central,35.517491,-86.580447
,Texas,TX,South,West South Central,31.968599,-99.901813
,Utah,UT,West,Mountain,39.32098,-111.093731
,Virginia,VA,South,South Atlantic,37.431573,-78.656894
,Vermont,VT,Northeast,New England,44.558803,-72.577841
,Washington,WA,West,Pacific,47.751074,-120.740139
,Wisconsin,WI,Midwest,East North Central,43.78444,-88.787868
,West Virginia,WV,South,South Atlantic,38.597626,-80.454903
,Wyoming,WY,West,Mountain,43.075968,-107.290284
